"EntryID","FullSourcePath","FullSitePath","PlantName","Category","Subfolder","WebOptimizedBranch","CurrentFileName","SuggestedNewName","NeedsRename"
"1","\\LSUK-SYNRACK\HomeMedia\hobbies\model building\plant displays\Bluebells\web-optimized\build\blu-build-001.jpg","\\ukwsdev07\e$\Models4Comfort\assets\images\projects\plant-displays\bluebells\build\blu-build-001.jpg","Bluebells","build","","build","blu-build-001.jpg","blu-build-001.jpg","NO"
"2","\\LSUK-SYNRACK\HomeMedia\hobbies\model building\plant displays\Bluebells\web-optimized\build\blu-build-002.jpg","\\ukwsdev07\e$\Models4Comfort\assets\images\projects\plant-displays\bluebells\build\blu-build-002.jpg","Bluebells","build","","build","blu-build-002.jpg","blu-build-002.jpg","NO"
"3","\\LSUK-SYNRACK\HomeMedia\hobbies\model building\plant displays\Bluebells\web-optimized\build\blu-build-003.jpg","\\ukwsdev07\e$\Models4Comfort\assets\images\projects\plant-displays\bluebells\build\blu-build-003.jpg","Bluebells","build","","build","blu-build-003.jpg","blu-build-003.jpg","NO"
"4","\\LSUK-SYNRACK\HomeMedia\hobbies\model building\plant displays\Bluebells\web-optimized\build\blu-build-004.jpg","\\ukwsdev07\e$\Models4Comfort\assets\images\projects\plant-displays\bluebells\build\blu-build-004.jpg","Bluebells","build","","build","blu-build-004.jpg","blu-build-004.jpg","NO"
"5","\\LSUK-SYNRACK\HomeMedia\hobbies\model building\plant displays\Bluebells\web-optimized\build\blu-build-005.jpg","\\ukwsdev07\e$\Models4Comfort\assets\images\projects\plant-displays\bluebells\build\blu-build-005.jpg","Bluebells","build","","build","blu-build-005.jpg","blu-build-005.jpg","NO"
"6","\\LSUK-SYNRACK\HomeMedia\hobbies\model building\plant displays\Bluebells\web-optimized\planning\blu-planning-english-bluebell-001.jpg","\\ukwsdev07\e$\Models4Comfort\assets\images\projects\plant-displays\bluebells\planning\blu-planning-english-bluebell-001.jpg","Bluebells","planning","","planning","blu-planning-english-bluebell-001.jpg","blu-planning-001.jpg","YES"
"7","\\LSUK-SYNRACK\HomeMedia\hobbies\model building\plant displays\Bluebells\web-optimized\planning\blu-planning-english-bluebell-002.jpg","\\ukwsdev07\e$\Models4Comfort\assets\images\projects\plant-displays\bluebells\planning\blu-planning-english-bluebell-002.jpg","Bluebells","planning","","planning","blu-planning-english-bluebell-002.jpg","blu-planning-002.jpg","YES"
"8","\\LSUK-SYNRACK\HomeMedia\hobbies\model building\plant displays\Bluebells\web-optimized\planning\blu-planning-muscari-003.jpg","\\ukwsdev07\e$\Models4Comfort\assets\images\projects\plant-displays\bluebells\planning\blu-planning-muscari-003.jpg","Bluebells","planning","","planning","blu-planning-muscari-003.jpg","blu-planning-003.jpg","YES"
"9","\\LSUK-SYNRACK\HomeMedia\hobbies\model building\plant displays\Bluebells\web-optimized\planning\blu-planning-scenery-004.jpg","\\ukwsdev07\e$\Models4Comfort\assets\images\projects\plant-displays\bluebells\planning\blu-planning-scenery-004.jpg","Bluebells","planning","","planning","blu-planning-scenery-004.jpg","blu-planning-004.jpg","YES"
"10","\\LSUK-SYNRACK\HomeMedia\hobbies\model building\plant displays\Bluebells\web-optimized\planning\blu-planning-scenery-005.jpg","\\ukwsdev07\e$\Models4Comfort\assets\images\projects\plant-displays\bluebells\planning\blu-planning-scenery-005.jpg","Bluebells","planning","","planning","blu-planning-scenery-005.jpg","blu-planning-005.jpg","YES"
