"SourceFolder","SourceFilename","TargetFolder","TargetFilename","FileSize","DateTaken"
"planning","2025-07-05_18-25-22.jpg","planning","tec-plan-001.jpg","24569","2025-10-23"
"planning","2025-07-05_18-25-47.jpg","planning","tec-plan-002.jpg","20280","2025-10-23"
"planning","2025-07-05_18-26-13.jpg","planning","tec-plan-003.jpg","19727","2025-10-23"
"planning","2025-07-05_18-26-36.jpg","planning","tec-plan-004.jpg","21120","2025-10-23"
"planning","2025-07-05_18-27-16.jpg","planning","tec-plan-005.jpg","23696","2025-10-23"
"planning","2025-07-06_05-49-57.jpg","planning","tec-plan-006.jpg","74363","2025-10-23"
"planning","2025-07-06_05-50-31.jpg","planning","tec-plan-007.jpg","64403","2025-10-23"
"planning","2025-07-06_05-51-15.jpg","planning","tec-plan-008.jpg","110138","2025-10-23"
"planning","2025-07-06_05-52-16.jpg","planning","tec-plan-009.jpg","88637","2025-10-23"
"planning","2025-07-06_05-52-27.jpg","planning","tec-plan-010.jpg","69113","2025-10-23"
"planning","2025-07-06_05-53-49.jpg","planning","tec-plan-011.jpg","130353","2025-10-23"
"planning","2025-07-06_05-54-21.jpg","planning","tec-plan-012.jpg","68895","2025-10-23"
"planning","2025-07-06_05-57-13.jpg","planning","tec-plan-013.jpg","107461","2025-10-23"
"planning","2025-07-06_05-58-50.jpg","planning","tec-plan-014.jpg","58882","2025-10-23"
"planning","2025-09-16_12-20-50.jpg","planning","tec-plan-015.jpg","143699","2025-10-23"
"planning","2025-09-16_12-21-21.jpg","planning","tec-plan-016.jpg","57416","2025-10-23"
"planning","2025-09-16_12-22-13.jpg","planning","tec-plan-017.jpg","86223","2025-10-23"
"planning","2025-09-16_12-22-52.jpg","planning","tec-plan-018.jpg","114081","2025-10-23"
"planning","2025-09-16_12-23-33.jpg","planning","tec-plan-019.jpg","100691","2025-10-23"
"planning","2025-09-16_12-24-23.jpg","planning","tec-plan-020.jpg","101130","2025-10-23"
"planning","2025-09-16_12-26-04.jpg","planning","tec-plan-021.jpg","106677","2025-10-23"
"planning","2025-09-16_12-28-41.jpg","planning","tec-plan-022.jpg","128098","2025-10-23"
"planning","2025-09-16_12-30-27.jpg","planning","tec-plan-023.jpg","94628","2025-10-23"
"planning","2025-09-16_12-31-45.jpg","planning","tec-plan-024.jpg","158731","2025-10-23"
"planning","2025-09-16_12-32-30.jpg","planning","tec-plan-025.jpg","193416","2025-10-23"
"planning","2025-09-16_12-33-15.jpg","planning","tec-plan-026.jpg","78490","2025-10-23"
"planning","2025-09-16_12-34-35.jpg","planning","tec-plan-027.jpg","143129","2025-10-23"
"planning","2025-09-16_12-34-59.jpg","planning","tec-plan-028.jpg","154797","2025-10-23"
"planning","2025-09-16_12-35-41.jpg","planning","tec-plan-029.jpg","108561","2025-10-23"
"planning","2025-09-16_12-36-32.jpg","planning","tec-plan-030.jpg","78742","2025-10-23"
"planning","2025-09-16_12-37-18.jpg","planning","tec-plan-031.jpg","483856","2025-10-23"
"planning","IMG_20170904_110309.jpg","planning","tec-plan-032.jpg","4282161","2025-11-30"
"Cottage","20250710_083715.jpg","Cottage","tec-build1-001.jpg","3887054","2025-11-30"
"Cottage","20250721_064509.jpg","Cottage","tec-build1-002.jpg","4303159","2025-11-30"
"Cottage","20250725_081242.jpg","Cottage","tec-build1-003.jpg","3487433","2025-11-30"
"Cottage","20250725_081251.jpg","Cottage","tec-build1-004.jpg","3448753","2025-11-30"
"Cottage","20250730_182513.jpg","Cottage","tec-build1-005.jpg","3312510","2025-11-30"
